"year","taxa","log_abundance"
2005,"Pseudocalanus",3.09932081987652
2005,"Calanus_glacialis",1.1074663801313
2006,"Pseudocalanus",2.83564008407382
2006,"Calanus_glacialis",0.463732571880978
2007,"Pseudocalanus",2.67956139219954
2007,"Calanus_glacialis",0.680781731252189
2008,"Pseudocalanus",2.67657133173801
2008,"Calanus_glacialis",1.20687533272221
2009,"Pseudocalanus",2.69042801383099
2009,"Calanus_glacialis",1.41348602071986
2010,"Pseudocalanus",2.59280083430234
2010,"Calanus_glacialis",1.61929930860325
2011,"Pseudocalanus",2.21697984021142
2011,"Calanus_glacialis",1.21054263710401
2012,"Pseudocalanus",2.2254383559305
2012,"Calanus_glacialis",1.48076942156268
2013,"Pseudocalanus",2.83477515283864
2013,"Calanus_glacialis",1.41063089564251
2014,"Pseudocalanus",3.43370104822753
2014,"Calanus_glacialis",2.34171256079081
2015,"Pseudocalanus",3.75522412312021
2015,"Calanus_glacialis",1.55029577333149
2016,"Pseudocalanus",3.63975773363566
2016,"Calanus_glacialis",1.44080048522242
2017,"Pseudocalanus",3.18372264980301
2017,"Calanus_glacialis",0.822242765231431
2018,"Pseudocalanus",3.66008644876972
2018,"Calanus_glacialis",1.45251733910935
2019,"Pseudocalanus",3.67377165842968
2019,"Calanus_glacialis",0.981190761358836
2021,"Pseudocalanus",3.33151867403207
2021,"Calanus_glacialis",0.496616147568968
2022,"Pseudocalanus",3.62200568712497
2022,"Calanus_glacialis",0.27499521795173
2023,"Pseudocalanus",3.42965127355005
2023,"Calanus_glacialis",0.60474816828278
