"","CRUISE","DAY","LAT","LON","MONTH","STATION_NAME","YEAR","EST_NUM_PERM3","log10_EST_NUM_PERM3","TAXA"
"1","1AK10",9,56.97033,-160.3365,6,"3",2010,989.7462,2.99596241527603,"Pseudocalanus spp."
"2","1AK10",10,57.0005,-161.55949,6,"4",2010,944.1634,2.97550689589961,"Pseudocalanus spp."
"3","1AK10",14,56.68167,-163.996,6,"8",2010,1694.2834,3.22924230948191,"Pseudocalanus spp."
"4","1AK10",19,57.33233,-166.51883,6,"12",2010,757.0696,2.87970908097282,"Pseudocalanus spp."
"5","1AK10",24,58.314,-169.06567,6,"17",2010,843.8456,2.92677734658879,"Pseudocalanus spp."
"6","1AK10",25,57.30933,-167.71651,6,"18",2010,888.5982,2.94919389549376,"Pseudocalanus spp."
"7","1AR07",14,57.37,-160.91533,6,"5",2007,1115.4618,3.04784386817501,"Pseudocalanus spp."
"8","1AR07",16,56.69733,-162.20717,6,"7",2007,966.3234,2.9855716936846,"Pseudocalanus spp."
"9","1AR07",18,57.022,-163.49583,6,"9",2007,2969.7904,3.47287201183917,"Pseudocalanus spp."
"10","1AR07",21,56.68267,-164.5795,6,"12",2007,895.1568,2.9523840045471,"Pseudocalanus spp."
"11","1AR08",6,57.3,-160.43333,6,"3",2008,977.402,2.990517331792,"Pseudocalanus spp."
"12","1AR08",9,56.9,-163.03334,6,"6",2008,1081.2362,3.03432205666855,"Pseudocalanus spp."
"13","1AR08",11,56.345,-164,6,"8",2008,5873.0912,3.76894068501097,"Pseudocalanus spp."
"14","1AR08",16,56.23333,-165.13333,6,"13",2008,3640.9024,3.56132830287862,"Pseudocalanus spp."
"15","1AR09",5,57.33633,-160.92867,6,"1",2009,546.28,2.73820957741649,"Pseudocalanus spp."
"16","1AR09",12,56.96867,-164.7085,6,"4",2009,1292.238,3.11167845726634,"Pseudocalanus spp."
"17","1AR09",14,57.40217,-165.83817,6,"6",2009,953.3486,2.97970704074454,"Pseudocalanus spp."
"18","1DY10",1,56.8985,-164.03867,5,"16",2010,382.5764,2.58385187882952,"Pseudocalanus spp."
"19","1DY10",28,56.66783,-163.86417,4,"11",2010,379.9116,2.58082419854512,"Pseudocalanus spp."
"20","1DY10",28,56.77083,-164.35584,4,"10",2010,572.9802,2.75889691124979,"Pseudocalanus spp."
"21","1DY10",28,56.869,-164.04283,4,"8",2010,168.7479,2.22980441020407,"Pseudocalanus spp."
"22","1DY10",28,56.872,-164.04367,4,"8",2010,168.7479,2.22980441020407,"Pseudocalanus spp."
"23","1DY10",28,56.87333,-164.0555,4,"8",2010,337.4958,2.52955328440036,"Pseudocalanus spp."
"24","1DY10",28,56.93933,-163.83501,4,"12",2010,264.1606,2.4235089930593,"Pseudocalanus spp."
"25","1DY10",28,57.01667,-164.22067,4,"9",2010,342.4958,2.53592143121223,"Pseudocalanus spp."
"26","1DY11",22,58.14417,-169.91716,5,"25",2011,278.3692,2.44617852415693,"Pseudocalanus spp."
"27","1DY11",22,58.4535,-170.185,5,"23",2011,152.2518,2.18540558417236,"Pseudocalanus spp."
"28","1DY11",22,58.77783,-170.29266,5,"21",2011,225.9938,2.35601399524352,"Pseudocalanus spp."
"29","1DY11",22,59.10517,-170.24884,5,"19",2011,166.1316,2.22305857082791,"Pseudocalanus spp."
"30","1DY11",22,59.3415,-170.64333,5,"17",2011,294.8258,2.47103604764943,"Pseudocalanus spp."
"31","1DY11",23,57.602,-168.6915,5,"30",2011,125.9166,2.10351842916256,"Pseudocalanus spp."
"32","1DY11",23,57.73817,-169.12616,5,"29",2011,142.8444,2.1578929590561,"Pseudocalanus spp."
"33","1DY11",23,57.77217,-168.6575,5,"31",2011,261.3168,2.41882610573961,"Pseudocalanus spp."
"34","1DY11",23,57.83017,-168.88083,5,"32",2011,83.6869,1.92781623562329,"Pseudocalanus spp."
"35","1DY11",23,57.832,-168.885,5,"32",2011,83.6869,1.92781623562329,"Pseudocalanus spp."
"36","1DY11",23,57.833,-168.88583,5,"32",2011,83.6869,1.92781623562329,"Pseudocalanus spp."
"37","1DY11",23,57.83317,-168.88567,5,"32",2011,167.3738,2.22627451352549,"Pseudocalanus spp."
"38","1DY11",23,57.9095,-169.506,5,"27",2011,112.4882,2.05495070786132,"Pseudocalanus spp."
"39","1DY11",23,57.9185,-169.01199,5,"28",2011,80.373,1.91048032754076,"Pseudocalanus spp."
"40","1DY11",24,57.50834,-167.661,5,"38",2011,136.0112,2.13675607007162,"Pseudocalanus spp."
"41","1DY11",24,57.5305,-168.3045,5,"36",2011,423.8546,2.62824032482235,"Pseudocalanus spp."
"42","1DY11",25,56.86283,-165.11617,5,"48",2011,412.3582,2.61632655737308,"Pseudocalanus spp."
"43","1DY11",25,57.1065,-165.61217,5,"46",2011,213.358,2.3311396963422,"Pseudocalanus spp."
"44","1DY11",25,57.32667,-165.99333,5,"44",2011,238.2374,2.37882907391149,"Pseudocalanus spp."
"45","1DY11",25,57.44033,-166.5125,5,"42",2011,168.0276,2.22795762502211,"Pseudocalanus spp."
"46","1DY11",25,57.521,-167.0325,5,"40",2011,152.8866,2.18720080437063,"Pseudocalanus spp."
"47","1DY11",26,56.67216,-163.85651,5,"55",2011,1347.998,3.13001130579525,"Pseudocalanus spp."
"48","1DY11",26,56.76817,-164.32617,5,"51",2011,979.783,2.99157292957424,"Pseudocalanus spp."
"49","1DY11",26,56.9,-164.05034,5,"53",2011,263.1814,2.42190223734466,"Pseudocalanus spp."
"50","1DY11",26,56.90633,-164.0435,5,"53",2011,263.1814,2.42190223734466,"Pseudocalanus spp."
"51","1DY11",26,56.90983,-164.04067,5,"53",2011,263.1814,2.42190223734466,"Pseudocalanus spp."
"52","1DY11",26,56.91267,-164.036,5,"53",2011,526.3628,2.72210949154668,"Pseudocalanus spp."
"53","1DY11",26,56.94767,-163.82266,5,"54",2011,774.2254,2.88942799378874,"Pseudocalanus spp."
"54","1DY11",26,57.01933,-164.20551,5,"52",2011,539.526,2.73281658891829,"Pseudocalanus spp."
"55","1DY12",8,56.66217,-163.8588,5,"64",2012,763.7946,2.88354481284743,"Pseudocalanus spp."
"56","1DY12",8,56.76717,-164.3328,5,"67",2012,1.1442,0.331265291676226,"Pseudocalanus spp."
"57","1DY12",8,56.85883,-164.0735,5,"66",2012,171.3516,2.23641531946979,"Pseudocalanus spp."
"58","1DY12",8,56.85883,-164.0712,5,"66",2012,171.3516,2.23641531946979,"Pseudocalanus spp."
"59","1DY12",8,56.86067,-164.0747,5,"66",2012,342.7032,2.53618357559336,"Pseudocalanus spp."
"60","1DY12",8,56.93283,-163.8393,5,"65",2012,0,0,"Pseudocalanus spp."
